512 64 8
95 12 7 28.0855
96 12 8 28.0855
97 13 1 28.0855
98 13 2 28.0855
99 13 3 28.0855
100 13 4 28.0855
101 13 5 28.0855
102 13 6 28.0855
103 13 7 28.0855
104 13 8 28.0855
105 14 1 28.0855
106 14 2 28.0855
107 14 3 28.0855
108 14 4 28.0855
109 14 5 28.0855
110 14 6 28.0855
111 14 7 28.0855
112 14 8 28.0855
113 15 1 28.0855
114 15 2 28.0855
115 15 3 28.0855
116 15 4 28.0855
117 15 5 28.0855
118 15 6 28.0855
119 15 7 28.0855
120 15 8 28.0855
121 16 1 28.0855
122 16 2 28.0855
123 16 3 28.0855
124 16 4 28.0855
125 16 5 28.0855
126 16 6 28.0855
127 16 7 28.0855
128 16 8 28.0855
129 17 1 28.0855
130 17 2 28.0855
131 17 3 28.0855
132 17 4 28.0855
133 17 5 28.0855
134 17 6 28.0855
135 17 7 28.0855
136 17 8 28.0855
137 18 1 28.0855
138 18 2 28.0855
139 18 3 28.0855
140 18 4 28.0855
141 18 5 28.0855
142 18 6 28.0855
143 18 7 28.0855
144 18 8 28.0855
145 19 1 28.0855
146 19 2 28.0855
147 19 3 28.0855
148 19 4 28.0855
149 19 5 28.0855
150 19 6 28.0855
151 19 7 28.0855
152 19 8 28.0855
153 20 1 28.0855
154 20 2 28.0855
155 20 3 28.0855
156 20 4 28.0855
157 20 5 28.0855
158 20 6 28.0855
159 20 7 28.0855
160 20 8 28.0855
161 21 1 28.0855
162 21 2 28.0855
163 21 3 28.0855
164 21 4 28.0855
165 21 5 28.0855
166 21 6 28.0855
167 21 7 28.0855
168 21 8 28.0855
169 22 1 28.0855
170 22 2 28.0855
171 22 3 28.0855
172 22 4 28.0855
173 22 5 28.0855
174 22 6 28.0855
175 22 7 28.0855
176 22 8 28.0855
177 23 1 28.0855
178 23 2 28.0855
179 23 3 28.0855
180 23 4 28.0855
181 23 5 28.0855
182 23 6 28.0855
183 23 7 28.0855
184 23 8 28.0855
185 24 1 28.0855
186 24 2 28.0855
187 24 3 28.0855
188 24 4 28.0855
189 24 5 28.0855
190 24 6 28.0855
191 24 7 28.0855
192 24 8 28.0855
193 25 1 28.0855
194 25 2 28.0855
195 25 3 28.0855
196 25 4 28.0855
197 25 5 28.0855
198 25 6 28.0855
199 25 7 28.0855
200 25 8 28.0855
201 26 1 28.0855
202 26 2 28.0855
203 26 3 28.0855
204 26 4 28.0855
205 26 5 28.0855
206 26 6 28.0855
207 26 7 28.0855
208 26 8 28.0855
209 27 1 28.0855
210 27 2 28.0855
211 27 3 28.0855
212 27 4 28.0855
213 27 5 28.0855
214 27 6 28.0855
215 27 7 28.0855
216 27 8 28.0855
217 28 1 28.0855
218 28 2 28.0855
219 28 3 28.0855
220 28 4 28.0855
221 28 5 28.0855
222 28 6 28.0855
223 28 7 28.0855
224 28 8 28.0855
225 29 1 28.0855
226 29 2 28.0855
227 29 3 28.0855
228 29 4 28.0855
229 29 5 28.0855
230 29 6 28.0855
231 29 7 28.0855
232 29 8 28.0855
233 30 1 28.0855
234 30 2 28.0855
235 30 3 28.0855
236 30 4 28.0855
237 30 5 28.0855
238 30 6 28.0855
239 30 7 28.0855
240 30 8 28.0855
241 31 1 28.0855
242 31 2 28.0855
243 31 3 28.0855
244 31 4 28.0855
245 31 5 28.0855
246 31 6 28.0855
247 31 7 28.0855
248 31 8 28.0855
249 32 1 28.0855
250 32 2 28.0855
251 32 3 28.0855
252 32 4 28.0855
253 32 5 28.0855
254 32 6 28.0855
255 32 7 28.0855
256 32 8 28.0855
257 33 1 28.0855
258 33 2 28.0855
259 33 3 28.0855
260 33 4 28.0855
261 33 5 28.0855
262 33 6 28.0855
263 33 7 28.0855
264 33 8 28.0855
265 34 1 28.0855
266 34 2 28.0855
267 34 3 28.0855
268 34 4 28.0855
269 34 5 28.0855
270 34 6 28.0855
271 34 7 28.0855
272 34 8 28.0855
273 35 1 28.0855
274 35 2 28.0855
275 35 3 28.0855
276 35 4 28.0855
277 35 5 28.0855
278 35 6 28.0855
279 35 7 28.0855
280 35 8 28.0855
281 36 1 28.0855
282 36 2 28.0855
283 36 3 28.0855
284 36 4 28.0855
285 36 5 28.0855
286 36 6 28.0855
287 36 7 28.0855
288 36 8 28.0855
289 37 1 28.0855
290 37 2 28.0855
291 37 3 28.0855
292 37 4 28.0855
293 37 5 28.0855
294 37 6 28.0855
295 37 7 28.0855
296 37 8 28.0855
297 38 1 28.0855
298 38 2 28.0855
299 38 3 28.0855
300 38 4 28.0855
301 38 5 28.0855
302 38 6 28.0855
303 38 7 28.0855
304 38 8 28.0855
305 39 1 28.0855
306 39 2 28.0855
307 39 3 28.0855
308 39 4 28.0855
309 39 5 28.0855
310 39 6 28.0855
311 39 7 28.0855
312 39 8 28.0855
313 40 1 28.0855
314 40 2 28.0855
315 40 3 28.0855
316 40 4 28.0855
317 40 5 28.0855
318 40 6 28.0855
319 40 7 28.0855
320 40 8 28.0855
321 41 1 28.0855
322 41 2 28.0855
323 41 3 28.0855
324 41 4 28.0855
325 41 5 28.0855
326 41 6 28.0855
327 41 7 28.0855
328 41 8 28.0855
329 42 1 28.0855
330 42 2 28.0855
331 42 3 28.0855
332 42 4 28.0855
333 42 5 28.0855
334 42 6 28.0855
335 42 7 28.0855
336 42 8 28.0855
337 43 1 28.0855
338 43 2 28.0855
339 43 3 28.0855
340 43 4 28.0855
341 43 5 28.0855
342 43 6 28.0855
343 43 7 28.0855
344 43 8 28.0855
345 44 1 28.0855
346 44 2 28.0855
347 44 3 28.0855
348 44 4 28.0855
349 44 5 28.0855
350 44 6 28.0855
351 44 7 28.0855
352 44 8 28.0855
353 45 1 28.0855
354 45 2 28.0855
355 45 3 28.0855
356 45 4 28.0855
357 45 5 28.0855
358 45 6 28.0855
359 45 7 28.0855
360 45 8 28.0855
361 46 1 28.0855
362 46 2 28.0855
363 46 3 28.0855
364 46 4 28.0855
365 46 5 28.0855
366 46 6 28.0855
367 46 7 28.0855
368 46 8 28.0855
369 47 1 28.0855
370 47 2 28.0855
371 47 3 28.0855
372 47 4 28.0855
373 47 5 28.0855
374 47 6 28.0855
375 47 7 28.0855
376 47 8 28.0855
377 48 1 28.0855
378 48 2 28.0855
379 48 3 28.0855
380 48 4 28.0855
381 48 5 28.0855
382 48 6 28.0855
383 48 7 28.0855
384 48 8 28.0855
385 49 1 28.0855
386 49 2 28.0855
387 49 3 28.0855
388 49 4 28.0855
389 49 5 28.0855
390 49 6 28.0855
391 49 7 28.0855
392 49 8 28.0855
393 50 1 28.0855
394 50 2 28.0855
395 50 3 28.0855
396 50 4 28.0855
397 50 5 28.0855
398 50 6 28.0855
399 50 7 28.0855
400 50 8 28.0855
401 51 1 28.0855
402 51 2 28.0855
403 51 3 28.0855
404 51 4 28.0855
405 51 5 28.0855
406 51 6 28.0855
407 51 7 28.0855
408 51 8 28.0855
409 52 1 28.0855
410 52 2 28.0855
411 52 3 28.0855
412 52 4 28.0855
413 52 5 28.0855
414 52 6 28.0855
415 52 7 28.0855
416 52 8 28.0855
417 53 1 28.0855
418 53 2 28.0855
419 53 3 28.0855
420 53 4 28.0855
421 53 5 28.0855
422 53 6 28.0855
423 53 7 28.0855
424 53 8 28.0855
425 54 1 28.0855
426 54 2 28.0855
427 54 3 28.0855
428 54 4 28.0855
429 54 5 28.0855
430 54 6 28.0855
431 54 7 28.0855
432 54 8 28.0855
433 55 1 28.0855
434 55 2 28.0855
435 55 3 28.0855
436 55 4 28.0855
437 55 5 28.0855
438 55 6 28.0855
439 55 7 28.0855
440 55 8 28.0855
441 56 1 28.0855
442 56 2 28.0855
443 56 3 28.0855
444 56 4 28.0855
445 56 5 28.0855
446 56 6 28.0855
447 56 7 28.0855
448 56 8 28.0855
449 57 1 28.0855
450 57 2 28.0855
451 57 3 28.0855
452 57 4 28.0855
453 57 5 28.0855
454 57 6 28.0855
455 57 7 28.0855
456 57 8 28.0855
457 58 1 28.0855
458 58 2 28.0855
459 58 3 28.0855
460 58 4 28.0855
461 58 5 28.0855
462 58 6 28.0855
463 58 7 28.0855
464 58 8 28.0855
465 59 1 28.0855
466 59 2 28.0855
467 59 3 28.0855
468 59 4 28.0855
469 59 5 28.0855
470 59 6 28.0855
471 59 7 28.0855
472 59 8 28.0855
473 60 1 28.0855
474 60 2 28.0855
475 60 3 28.0855
476 60 4 28.0855
477 60 5 28.0855
478 60 6 28.0855
479 60 7 28.0855
480 60 8 28.0855
481 61 1 28.0855
482 61 2 28.0855
483 61 3 28.0855
484 61 4 28.0855
485 61 5 28.0855
486 61 6 28.0855
487 61 7 28.0855
488 61 8 28.0855
489 62 1 28.0855
490 62 2 28.0855
491 62 3 28.0855
492 62 4 28.0855
493 62 5 28.0855
494 62 6 28.0855
495 62 7 28.0855
496 62 8 28.0855
497 63 1 28.0855
498 63 2 28.0855
499 63 3 28.0855
500 63 4 28.0855
501 63 5 28.0855
502 63 6 28.0855
503 63 7 28.0855
504 63 8 28.0855
505 64 1 28.0855
506 64 2 28.0855
507 64 3 28.0855
508 64 4 28.0855
509 64 5 28.0855
510 64 6 28.0855
511 64 7 28.0855
512 64 8 28.0855
